edad,ingresos_mensuales,gastos_fijos_mensuales,monto_prestamo,plazo_meses,historial_crediticio_score,deudas_actuales,ratio_deuda_ingreso,antiguedad_empleo_meses,numero_consultas_crediticias,dependientes,patrimonio_neto,tasa_interes_ofrecida,monto_ahorros,cuota_mensual_estimada,relacion_cuota_ingreso,nivel_educacion,situacion_laboral,tipo_vivienda,finalidad_prestamo,provincia,estado_civil,tipo_contrato,aprobado
57.0,2952.0,1291.0,99938,36,572.0,3004.0,0.0982,86.0,1,3,109106.0,12.7,32276.0,3353.0,1.1358,Universitario,Fijo,Otro,Automovil,Bilbao,Viudo,Indefinido,1
41.0,5968.0,3197.0,498852,360,562.0,4631.0,0.0926,17.0,0,2,49634.0,12.9,7030.0,5479.0,0.9181,Secundaria,Fijo,Hipotecada,Automovil,Madrid,Soltero,Temporal,0
20.0,3784.0,1990.0,62688,84,629.0,802.0,0.116,86.0,4,2,-67819.0,16.1,13994.0,1249.0,0.3301,Tecnico,Jubilado,Familiar,Automovil,Valencia,Soltero,Temporal,1
39.0,1904.0,1058.0,36900,60,651.0,18989.0,0.8462,150.0,3,4,244987.0,15.4,17462.0,886.0,0.4653,Universitario,Temporal,Alquilada,Automovil,Madrid,Casado,Temporal,0
70.0,2519.0,755.0,47237,180,715.0,9418.0,0.3546,16.0,1,1,78448.0,17.8,16710.0,754.0,0.2993,Secundaria,Fijo,Alquilada,Negocio,Barcelona,Soltero,Practicas,1
19.0,1285.0,603.0,41285,60,548.0,4401.0,0.3478,100.0,0,1,82006.0,17.2,4009.0,1030.0,0.8016,Universitario,Autonomo,Familiar,Educacion,Bilbao,Soltero,Temporal,1
41.0,2794.0,814.0,140385,12,651.0,18750.0,0.5923,30.0,2,2,24617.0,8.4,14628.0,12238.0,3.0,Universitario,Jubilado,Alquilada,Educacion,Bilbao,Casado,Indefinido,1
61.0,5810.0,1842.0,98292,36,688.0,7354.0,0.1546,61.0,0,2,-80000.0,14.8,13648.0,3398.0,0.5849,Primaria,Fijo,Hipotecada,Negocio,Barcelona,Soltero,Indefinido,1
47.0,4497.0,1164.0,444873,360,562.0,9910.0,0.2196,86.0,3,0,119189.0,10.7,15426.0,4136.0,0.9197,Tecnico,Fijo,Alquilada,Automovil,Madrid,Soltero,Sin contrato,1
55.0,6913.0,1637.0,680479,180,609.0,21819.0,0.3795,37.0,1,1,-80000.0,11.9,16166.0,8123.0,1.175,Secundaria,Desempleado,Alquilada,Negocio,Sevilla,Viudo,Indefinido,1
19.0,2486.0,1219.0,171596,240,718.0,21878.0,0.7697,11.0,1,1,145576.0,16.3,8550.0,2426.0,0.9759,Universitario,Temporal,Alquilada,Personal,Sevilla,Viudo,Indefinido,0
38.0,6685.0,2076.0,387282,24,645.0,107.0,0.1194,1.0,2,5,225619.0,23.7,2989.0,20418.0,3.0,Sin estudios,Fijo,Otro,Hipoteca,Barcelona,Soltero,Sin contrato,0
50.0,2655.0,1565.0,262702,36,468.0,8590.0,0.3068,1.0,0,1,-62540.0,9.5,4834.0,8415.0,3.0,Primaria,Temporal,Familiar,Automovil,Valencia,Soltero,Temporal,0
29.0,7208.0,2179.0,552164,12,720.0,555.0,0.0158,43.0,6,1,115247.0,17.6,63012.0,50517.0,3.0,Secundaria,Fijo,Familiar,Personal,Madrid,Divorciado,Indefinido,1
75.0,2942.0,1533.0,83870,180,658.0,4205.0,0.2524,117.0,2,5,-69585.0,29.6,746.0,2095.0,0.7121,Secundaria,Fijo,Otro,Automovil,Valencia,Viudo,Temporal,1
39.0,4557.0,2079.0,381920,24,505.0,46062.0,0.951,41.0,3,0,153843.0,12.5,15136.0,18068.0,3.0,Secundaria,Temporal,Hipotecada,Automovil,Barcelona,Soltero,Sin contrato,0
61.0,7223.0,2570.0,219666,48,571.0,16040.0,0.217,18.0,1,2,64928.0,6.8,14261.0,5240.0,0.7255,Postgrado,Desempleado,Alquilada,Consolidacion,Sevilla,Casado,Indefinido,0
42.0,2654.0,767.0,125970,36,639.0,2965.0,0.1388,9.0,2,1,33981.0,20.5,52267.0,4714.0,1.7762,Universitario,Temporal,Alquilada,Educacion,Madrid,Casado,Indefinido,1
66.0,3398.0,1835.0,220319,240,678.0,20211.0,0.5303,24.0,1,2,102863.0,18.3,23507.0,3451.0,1.0156,Sin estudios,Autonomo,Alquilada,Hipoteca,Madrid,Casado,Practicas,0
44.0,6460.0,1247.0,487444,60,743.0,27734.0,0.4684,134.0,4,2,30668.0,17.4,51019.0,12219.0,1.8915,Universitario,Temporal,Familiar,Negocio,Valencia,Casado,Sin contrato,1
59.0,2752.0,1312.0,134350,120,569.0,21004.0,0.638,40.0,0,1,-76936.0,10.8,19682.0,1835.0,0.6668,Secundaria,Fijo,Propia,Negocio,Sevilla,Soltero,Sin contrato,0
45.0,1349.0,845.0,47508,60,609.0,9590.0,0.7369,8.0,1,4,147103.0,13.4,12578.0,1091.0,0.8087,Universitario,Autonomo,Alquilada,Automovil,Barcelona,Divorciado,Sin contrato,0
33.0,10784.0,3546.0,800000,60,730.0,6565.0,0.1068,16.0,2,3,69670.0,11.0,409.0,17394.0,1.6129,Universitario,Fijo,Propia,Negocio,Bilbao,Viudo,Indefinido,1
32.0,2249.0,571.0,230830,48,744.0,30294.0,1.1655,332.0,0,2,63823.0,18.5,29507.0,6841.0,3.0,Universitario,Fijo,Propia,Personal,Barcelona,Divorciado,Temporal,1
64.0,3279.0,1160.0,177456,36,621.0,12764.0,0.4419,46.0,2,1,-6047.0,11.9,2962.0,5886.0,1.7951,Universitario,Jubilado,Hipotecada,Automovil,Madrid,Casado,Indefinido,0
68.0,5965.0,3414.0,427135,48,602.0,27564.0,0.4333,6.0,1,1,89793.0,9.8,25506.0,10792.0,1.8092,Secundaria,Autonomo,Alquilada,Automovil,Bilbao,Soltero,Temporal,0
61.0,2069.0,1389.0,157862,36,695.0,30172.0,1.3007,26.0,2,1,-3885.0,6.6,421.0,4846.0,2.3422,Postgrado,Fijo,Alquilada,Personal,Sevilla,Casado,Temporal,1
72.0,1628.0,1021.0,131563,84,464.0,7954.0,0.4684,3.0,1,1,23305.0,24.0,8150.0,3246.0,1.9939,Universitario,Fijo,Hipotecada,Consolidacion,Bilbao,Casado,Sin contrato,0
69.0,3471.0,1387.0,120810,48,649.0,10523.0,0.3467,2.0,3,3,-3546.0,18.3,5830.0,3568.0,1.0279,Secundaria,Fijo,Alquilada,Hipoteca,Barcelona,Soltero,Temporal,1
74.0,1017.0,637.0,76233,60,648.0,12723.0,1.0575,99.0,2,4,46955.0,13.3,31562.0,1746.0,1.7168,Postgrado,Temporal,Alquilada,Consolidacion,Valencia,Soltero,Indefinido,1
20.0,2508.0,460.0,238709,120,608.0,2360.0,0.1362,2.0,4,1,39376.0,23.3,17919.0,5147.0,2.0522,Universitario,Fijo,Propia,Consolidacion,Madrid,Divorciado,Sin contrato,0
54.0,3453.0,1858.0,312634,36,692.0,4490.0,0.2437,102.0,0,2,98609.0,26.2,18874.0,12630.0,3.0,Postgrado,Desempleado,Propia,Negocio,Valencia,Casado,Indefinido,0
68.0,2535.0,786.0,122514,48,748.0,28593.0,1.0863,1.0,3,3,125421.0,20.2,4894.0,3741.0,1.4757,Secundaria,Desempleado,Alquilada,Consolidacion,Valencia,Soltero,Temporal,0
24.0,1181.0,420.0,72481,60,562.0,760.0,0.0708,66.0,2,3,149700.0,19.4,8738.0,1896.0,1.6054,Universitario,Jubilado,Hipotecada,Hipoteca,Madrid,Casado,Indefinido,1
38.0,7758.0,4176.0,673043,12,584.0,9080.0,0.1963,98.0,2,0,70579.0,11.2,4781.0,59547.0,3.0,Secundaria,Fijo,Familiar,Negocio,Valencia,Viudo,Indefinido,1
26.0,3172.0,1320.0,208984,24,710.0,16397.0,0.4925,18.0,3,2,-27255.0,9.4,11637.0,9586.0,3.0,Tecnico,Temporal,Propia,Hipoteca,Madrid,Casado,Temporal,1
56.0,7035.0,2831.0,298498,12,519.0,24150.0,0.3395,22.0,3,0,-80000.0,10.2,4511.0,26270.0,3.0,Primaria,Fijo,Otro,Hipoteca,Sevilla,Divorciado,Sin contrato,0
35.0,2550.0,604.0,52196,120,602.0,12201.0,0.4017,176.0,1,1,-3529.0,25.8,2732.0,1217.0,0.4773,Tecnico,Temporal,Hipotecada,Hipoteca,Bilbao,Soltero,Indefinido,1
21.0,1758.0,928.0,144235,36,845.0,17575.0,0.85,17.0,2,1,72002.0,12.2,23108.0,4804.0,2.7327,Tecnico,Autonomo,Alquilada,Personal,Barcelona,Casado,Indefinido,1
42.0,3503.0,1926.0,128947,48,667.0,4890.0,0.1512,9.0,3,0,-80000.0,11.7,21310.0,3377.0,0.964,Tecnico,Autonomo,Familiar,Consolidacion,Barcelona,Soltero,Indefinido,1
31.0,2619.0,1106.0,166476,84,624.0,22206.0,0.7758,13.0,0,2,-10348.0,16.2,18884.0,3326.0,1.27,Postgrado,Temporal,Hipotecada,Automovil,Sevilla,Soltero,Indefinido,1
67.0,1470.0,1530.0,151223,360,495.0,9295.0,0.6272,9.0,1,0,150567.0,12.1,1184.0,1567.0,1.066,Secundaria,Fijo,Propia,Hipoteca,Barcelona,Casado,Indefinido,1
75.0,7200.0,1236.0,508412,180,433.0,37955.0,0.5223,4.0,2,1,66362.0,15.3,1318.0,7220.0,1.0028,Secundaria,Desempleado,Hipotecada,Hipoteca,Madrid,Soltero,Temporal,0
26.0,2052.0,684.0,150034,12,746.0,2001.0,0.1458,92.0,4,0,24996.0,18.8,13167.0,13812.0,3.0,Universitario,Desempleado,Hipotecada,Negocio,Barcelona,Viudo,Sin contrato,1
43.0,988.0,600.0,70114,36,545.0,153.0,0.1066,14.0,1,1,-8186.0,9.7,43334.0,2253.0,2.2804,Universitario,Fijo,Familiar,Educacion,Barcelona,Casado,Indefinido,1
70.0,6614.0,1530.0,137894,12,654.0,1682.0,0.0858,80.0,0,4,69710.0,18.2,27609.0,12655.0,1.9134,Secundaria,Desempleado,Alquilada,Educacion,Madrid,Soltero,Indefinido,1
19.0,2203.0,895.0,179095,12,765.0,5037.0,0.2449,1.0,2,0,56518.0,15.8,10851.0,16232.0,3.0,Tecnico,Temporal,Hipotecada,Negocio,Sevilla,Soltero,Sin contrato,1
37.0,2070.0,1010.0,90940,24,605.0,32765.0,1.4654,14.0,2,1,81652.0,11.8,3666.0,4272.0,2.0638,Primaria,Fijo,Propia,Personal,Madrid,Soltero,Indefinido,0
45.0,1034.0,980.0,60051,36,609.0,14466.0,1.2925,12.0,3,2,7789.0,16.8,11307.0,2135.0,2.0648,Tecnico,Fijo,Familiar,Personal,Sevilla,Casado,Indefinido,0
64.0,8472.0,1479.0,505129,36,713.0,9982.0,0.1135,7.0,4,5,53279.0,24.1,1247.0,19844.0,2.3423,Secundaria,Desempleado,Alquilada,Negocio,Madrid,Soltero,Indefinido,1
24.0,1375.0,703.0,107304,48,772.0,1021.0,0.1618,83.0,1,1,87685.0,12.3,14530.0,2842.0,2.0669,Primaria,Fijo,Familiar,Personal,Madrid,Soltero,Indefinido,1
61.0,3087.0,1333.0,252347,180,726.0,5823.0,0.3065,74.0,3,0,-20735.0,17.0,2399.0,3884.0,1.2582,Secundaria,Temporal,Hipotecada,Automovil,Sevilla,Casado,Sin contrato,1
25.0,5154.0,1593.0,388565,120,782.0,29880.0,0.5758,105.0,2,1,-80000.0,11.4,18915.0,5441.0,1.0557,Tecnico,Autonomo,Alquilada,Personal,Bilbao,Casado,Temporal,1
64.0,3839.0,2155.0,147148,48,442.0,3985.0,0.1202,62.0,1,0,48532.0,15.3,4815.0,4118.0,1.0727,Secundaria,Fijo,Otro,Hipoteca,Madrid,Casado,Sin contrato,1
52.0,2876.0,1070.0,121736,84,688.0,18337.0,0.6319,48.0,1,5,116961.0,17.6,16271.0,2530.0,0.8797,Secundaria,Fijo,Alquilada,Educacion,Bilbao,Casado,Sin contrato,1
31.0,1074.0,572.0,37945,48,766.0,30375.0,2.3848,187.0,3,2,-80000.0,21.1,3489.0,1177.0,1.0959,Secundaria,Desempleado,Familiar,Negocio,Barcelona,Soltero,Indefinido,0
34.0,1834.0,531.0,95367,48,691.0,5366.0,0.3668,33.0,0,2,36441.0,17.6,11372.0,2782.0,1.5169,Tecnico,Fijo,Alquilada,Educacion,Madrid,Soltero,Indefinido,1
53.0,3337.0,1285.0,289283,84,637.0,15610.0,0.4688,79.0,3,1,-80000.0,27.0,3651.0,7696.0,2.3063,Secundaria,Autonomo,Familiar,Hipoteca,Bilbao,Casado,Indefinido,1
67.0,1859.0,887.0,44089,48,540.0,7537.0,0.3787,13.0,4,2,-80000.0,17.5,5860.0,1284.0,0.6907,Universitario,Temporal,Propia,Automovil,Bilbao,Divorciado,Indefinido,1
57.0,3368.0,757.0,182105,60,584.0,18448.0,0.5085,96.0,2,2,472247.0,12.3,6638.0,4078.0,1.2108,Tecnico,Temporal,Otro,Automovil,Valencia,Soltero,Indefinido,0
21.0,4487.0,2076.0,394265,24,785.0,5725.0,0.2138,76.0,2,0,78497.0,22.5,4026.0,20551.0,3.0,Secundaria,Jubilado,Propia,Negocio,Madrid,Casado,Temporal,1
19.0,5311.0,2431.0,392251,60,647.0,19663.0,0.3259,23.0,2,1,69688.0,9.6,38813.0,8257.0,1.5547,Primaria,Desempleado,Alquilada,Hipoteca,Bilbao,Casado,Indefinido,0
23.0,1428.0,785.0,102542,120,593.0,4260.0,0.3845,196.0,3,2,201828.0,15.1,385.0,1661.0,1.1632,Universitario,Fijo,Hipotecada,Hipoteca,Barcelona,Divorciado,Indefinido,1
71.0,11137.0,2942.0,800000,180,510.0,35282.0,0.282,126.0,6,5,129249.0,14.3,5595.0,10816.0,0.9712,Universitario,Autonomo,Otro,Educacion,Sevilla,Soltero,Indefinido,1
59.0,4724.0,1763.0,198355,24,692.0,16697.0,0.3565,91.0,1,3,211520.0,15.9,18564.0,9703.0,2.054,Tecnico,Desempleado,Familiar,Automovil,Madrid,Casado,Sin contrato,1
21.0,2978.0,1233.0,240910,48,577.0,26475.0,0.8555,42.0,5,1,307966.0,19.4,2458.0,7254.0,2.4359,Secundaria,Fijo,Familiar,Negocio,Madrid,Divorciado,Sin contrato,0
71.0,5731.0,1235.0,66405,60,647.0,14497.0,0.3282,49.0,2,2,-80000.0,11.5,19876.0,1460.0,0.2548,Universitario,Autonomo,Alquilada,Automovil,Valencia,Casado,Indefinido,1
46.0,12323.0,5260.0,184600,240,805.0,43849.0,0.3111,112.0,1,3,169246.0,14.9,1542.0,2417.0,0.1961,Universitario,Jubilado,Alquilada,Consolidacion,Sevilla,Soltero,Indefinido,1
35.0,1257.0,259.0,86260,36,722.0,29298.0,1.9838,57.0,1,2,-80000.0,16.4,19069.0,3050.0,2.4264,Tecnico,Fijo,Familiar,Hipoteca,Madrid,Casado,Indefinido,1
43.0,2604.0,814.0,100110,24,768.0,3482.0,0.164,42.0,1,0,-49163.0,14.7,4167.0,4840.0,1.8587,Universitario,Jubilado,Alquilada,Personal,Madrid,Casado,Indefinido,1
61.0,800.0,502.0,82119,24,663.0,6921.0,0.8583,24.0,1,1,137365.0,14.6,1941.0,3966.0,3.0,Postgrado,Fijo,Propia,Automovil,Sevilla,Casado,Indefinido,1
51.0,3346.0,1549.0,159768,24,714.0,5485.0,0.2058,42.0,2,2,72477.0,13.4,20255.0,7626.0,2.2791,Secundaria,Autonomo,Otro,Automovil,Barcelona,Soltero,Temporal,1
27.0,3712.0,1541.0,364369,180,770.0,314.0,0.1421,1.0,3,2,-45691.0,16.8,11984.0,5556.0,1.4968,Postgrado,Fijo,Propia,Hipoteca,Bilbao,Divorciado,Temporal,1
53.0,2912.0,1471.0,299852,60,575.0,16574.0,0.6028,124.0,1,2,-10683.0,14.8,8227.0,7102.0,2.4389,Tecnico,Desempleado,Familiar,Hipoteca,Sevilla,Casado,Indefinido,0
31.0,2013.0,883.0,196192,48,647.0,92907.0,2.5,64.0,0,0,131105.0,14.3,8328.0,5391.0,2.6781,Secundaria,Autonomo,Propia,Hipoteca,Bilbao,Casado,Indefinido,1
48.0,872.0,443.0,86629,180,588.0,18897.0,1.9107,77.0,5,2,-46374.0,20.3,15143.0,1541.0,1.7672,Universitario,Fijo,Familiar,Automovil,Valencia,Soltero,Indefinido,0
65.0,3730.0,2102.0,341936,36,595.0,755.0,0.1489,39.0,4,4,-38817.0,22.6,25195.0,13165.0,3.0,Tecnico,Autonomo,Otro,Hipoteca,Sevilla,Casado,Temporal,1
32.0,7139.0,3603.0,289373,240,637.0,54555.0,0.6918,207.0,2,1,25723.0,14.0,26147.0,3598.0,0.504,Universitario,Autonomo,Propia,Personal,Valencia,Soltero,Indefinido,0
25.0,2091.0,838.0,124630,120,564.0,6005.0,0.312,74.0,3,2,412996.0,18.7,4878.0,2302.0,1.1009,Tecnico,Temporal,Hipotecada,Consolidacion,Bilbao,Soltero,Practicas,0
31.0,3882.0,1738.0,179074,12,617.0,851.0,0.0536,261.0,4,2,9563.0,23.1,39518.0,16855.0,3.0,Sin estudios,Autonomo,Otro,Personal,Barcelona,Casado,Indefinido,1
40.0,1163.0,612.0,84964,60,712.0,54.0,0.0822,278.0,0,0,110129.0,6.7,11866.0,1670.0,1.4359,Primaria,Jubilado,Hipotecada,Negocio,Bilbao,Casado,Sin contrato,1
74.0,3922.0,1245.0,335241,180,641.0,10104.0,0.2677,42.0,2,0,-28310.0,7.5,5667.0,3108.0,0.7925,Postgrado,Temporal,Familiar,Consolidacion,Valencia,Casado,Indefinido,1
57.0,2354.0,419.0,173655,48,580.0,5797.0,0.3129,124.0,2,6,53797.0,14.4,20565.0,4780.0,2.0306,Secundaria,Autonomo,Propia,Negocio,Barcelona,Divorciado,Practicas,1
38.0,1887.0,782.0,73514,360,721.0,2446.0,0.1436,44.0,0,1,176878.0,17.3,7189.0,1066.0,0.5649,Secundaria,Fijo,Hipotecada,Personal,Barcelona,Casado,Temporal,1
33.0,1889.0,379.0,103205,180,568.0,1088.0,0.1246,14.0,1,0,-14090.0,8.8,24283.0,1035.0,0.5479,Secundaria,Desempleado,Alquilada,Consolidacion,Bilbao,Soltero,Indefinido,0
62.0,2354.0,1263.0,54284,120,551.0,9212.0,0.3964,2.0,1,0,161605.0,8.9,34518.0,685.0,0.291,Postgrado,Fijo,Alquilada,Negocio,Bilbao,Soltero,Temporal,1
35.0,3750.0,1811.0,275916,24,758.0,3052.0,0.1283,27.0,1,1,116939.0,12.4,78443.0,13040.0,3.0,Tecnico,Fijo,Familiar,Negocio,Madrid,Soltero,Sin contrato,1
64.0,1357.0,612.0,95002,24,726.0,26825.0,1.6849,74.0,3,0,-80000.0,13.5,41330.0,4539.0,3.0,Universitario,Desempleado,Alquilada,Educacion,Madrid,Divorciado,Indefinido,0
70.0,2349.0,636.0,208330,84,619.0,3147.0,0.2186,14.0,1,1,75013.0,13.3,14016.0,3824.0,1.6279,Postgrado,Autonomo,Alquilada,Consolidacion,Sevilla,Casado,Temporal,1
41.0,2908.0,1636.0,264013,84,821.0,3860.0,0.1438,53.0,1,5,26590.0,16.9,16717.0,5380.0,1.8501,Secundaria,Fijo,Familiar,Hipoteca,Bilbao,Divorciado,Indefinido,1
43.0,1542.0,1146.0,60473,24,599.0,36744.0,2.1209,32.0,2,2,168964.0,18.0,546.0,3019.0,1.9578,Postgrado,Fijo,Propia,Hipoteca,Valencia,Soltero,Practicas,0
42.0,8760.0,3222.0,800000,180,711.0,6022.0,0.1485,91.0,3,4,-20708.0,24.6,12849.0,16836.0,1.9219,Postgrado,Autonomo,Propia,Consolidacion,Valencia,Divorciado,Indefinido,1
62.0,1786.0,810.0,175112,180,508.0,2774.0,0.2768,122.0,2,1,132270.0,13.2,8119.0,2239.0,1.2536,Sin estudios,Autonomo,Alquilada,Hipoteca,Madrid,Soltero,Indefinido,1
58.0,1995.0,1249.0,162115,48,559.0,2335.0,0.2352,45.0,1,4,442762.0,8.2,4061.0,3973.0,1.9915,Postgrado,Jubilado,Hipotecada,Educacion,Barcelona,Soltero,Practicas,1
46.0,1657.0,629.0,155822,60,743.0,14309.0,0.7415,54.0,4,3,279232.0,7.8,11292.0,3145.0,1.898,Tecnico,Temporal,Hipotecada,Hipoteca,Madrid,Casado,Practicas,1
32.0,8770.0,1881.0,122879,60,778.0,2162.0,0.1379,5.0,1,1,-80000.0,17.8,24314.0,3107.0,0.3543,Universitario,Autonomo,Alquilada,Hipoteca,Bilbao,Casado,Sin contrato,1
62.0,4154.0,1134.0,402486,12,636.0,6940.0,0.1656,77.0,0,2,14427.0,26.6,50104.0,38567.0,3.0,Tecnico,Fijo,Propia,Personal,Valencia,Divorciado,Temporal,1
18.0,1699.0,858.0,186931,24,850.0,26247.0,1.4284,3.0,3,3,68141.0,12.4,10036.0,8834.0,3.0,Universitario,Fijo,Alquilada,Negocio,Sevilla,Casado,Temporal,1
42.0,5789.0,2699.0,511277,120,768.0,19707.0,0.3861,45.0,1,3,23204.0,8.5,10826.0,6339.0,1.095,Tecnico,Temporal,Alquilada,Negocio,Madrid,Divorciado,Indefinido,1
24.0,3362.0,886.0,261998,60,587.0,7923.0,0.2246,9.0,1,1,-42465.0,17.8,60693.0,6625.0,1.9706,Universitario,Fijo,Familiar,Hipoteca,Valencia,Casado,Indefinido,0
26.0,3478.0,1091.0,323753,60,616.0,13698.0,0.3537,25.0,1,2,-48291.0,5.9,12574.0,6244.0,1.7953,Universitario,Temporal,Alquilada,Hipoteca,Valencia,Casado,Indefinido,0
41.0,2424.0,1363.0,166123,60,525.0,23206.0,0.9099,44.0,2,2,130559.0,14.4,3789.0,3900.0,1.6089,Postgrado,Jubilado,Otro,Hipoteca,Madrid,Casado,Sin contrato,0
18.0,1901.0,1198.0,128893,48,610.0,9124.0,0.4927,98.0,0,5,14573.0,16.0,5440.0,3653.0,1.9216,Sin estudios,Fijo,Otro,Personal,Sevilla,Soltero,Temporal,0
61.0,3651.0,1110.0,392392,12,672.0,1647.0,0.0575,0.0,2,0,119422.0,14.3,6212.0,35287.0,3.0,Universitario,Temporal,Alquilada,Educacion,Sevilla,Viudo,Temporal,1
25.0,2149.0,1103.0,198756,120,654.0,68076.0,2.5,15.0,3,2,-80000.0,19.6,3357.0,3789.0,1.7631,Postgrado,Fijo,Propia,Personal,Madrid,Soltero,Indefinido,1
41.0,8867.0,4806.0,792545,60,653.0,19457.0,0.3068,68.0,2,1,4066.0,24.2,12350.0,22892.0,2.5817,Secundaria,Temporal,Propia,Consolidacion,Bilbao,Casado,Indefinido,1
28.0,1392.0,1136.0,94954,24,740.0,6878.0,0.4341,15.0,2,0,156507.0,15.5,68729.0,4627.0,3.0,Secundaria,Fijo,Familiar,Educacion,Barcelona,Soltero,Sin contrato,0
68.0,7493.0,2907.0,748315,12,665.0,2899.0,0.0343,7.0,0,1,169697.0,20.2,16606.0,69391.0,3.0,Tecnico,Desempleado,Familiar,Hipoteca,Madrid,Viudo,Sin contrato,1
34.0,2788.0,516.0,216981,12,712.0,6943.0,0.2274,53.0,2,3,-6322.0,6.9,1676.0,18765.0,3.0,Postgrado,Fijo,Propia,Consolidacion,Madrid,Soltero,Temporal,1
25.0,3567.0,1617.0,83686,12,690.0,7680.0,0.2072,13.0,3,0,152923.0,11.3,8524.0,7408.0,2.0768,Universitario,Fijo,Hipotecada,Hipoteca,Bilbao,Soltero,Indefinido,1
52.0,4914.0,1560.0,405813,24,676.0,2838.0,0.143,12.0,2,0,94376.0,26.0,3842.0,21863.0,3.0,Secundaria,Autonomo,Familiar,Educacion,Bilbao,Viudo,Temporal,0
52.0,2042.0,525.0,67284,36,733.0,507.0,0.0713,43.0,2,3,-49698.0,10.9,27104.0,2200.0,1.0774,Secundaria,Jubilado,Alquilada,Automovil,Madrid,Casado,Indefinido,1
50.0,5007.0,2278.0,443871,36,722.0,28914.0,0.4969,47.0,4,2,124121.0,16.0,17283.0,15605.0,3.0,Secundaria,Fijo,Alquilada,Automovil,Bilbao,Casado,Indefinido,1
